"Provisional weekly death counts, by age group and sex c 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15"
"Frequency: Weekly"
"Table: 13-10-0768-01"
"Release date: 2023-05-11"
"Geography: Canada, Province or territory"
""
""

,"Age at time of death","Age at time of death, all ages 18",,
,"Sex","Both sexes 19","Males","Females"
,"Characteristics 17","Number of deaths","Number of deaths","Number of deaths"
"Geography, place of occurrence 16","Reference period"
,,"Number",,
,"February 12, 2011","140","75","65"
,"February 19, 2011","130","60","70"
,"February 26, 2011","150","75","75"
,"March 5, 2011","135","70","65"
,"March 12, 2011","140","70","70"
,"March 19, 2011","145","80","65"
,"March 26, 2011","140","75","65"
,"April 2, 2011","100","45","55"
,"April 9, 2011","125","55","70"
,"April 16, 2011","150","75","75"
,"April 23, 2011","130","60","70"
,"April 30, 2011","115","60","55"
,"May 7, 2011","135","55","80"
,"May 14, 2011","115","60","55"
,"May 21, 2011","125","60","65"
,"May 28, 2011","120","60","60"
,"June 4, 2011","130","70","60"
,"June 11, 2011","135","70","65"
,"June 18, 2011","135","65","70"
,"June 25, 2011","125","55","70"
,"July 2, 2011","105","45","60"
,"July 9, 2011","115","60","55"
,"July 16, 2011","115","60","55"
,"July 23, 2011","125","70","55"
,"July 30, 2011","110","65","45"
,"August 6, 2011","90","40","50"
,"August 13, 2011","110","60","50"
,"August 20, 2011","130","70","60"
,"August 27, 2011","120","55","65"
,"September 3, 2011","135","75","60"
,"September 10, 2011","100","50","50"
,"September 17, 2011","120","70","50"
,"September 24, 2011","125","65","60"
,"October 1, 2011","110","50","60"
,"October 8, 2011","130","70","60"
,"October 15, 2011","110","65","45"
,"October 22, 2011","125","65","60"
,"October 29, 2011","105","40","65"
,"November 5, 2011","125","60","65"
,"November 12, 2011","120","65","55"
,"November 19, 2011","120","70","50"
,"November 26, 2011","130","65","65"
,"December 3, 2011","90","45","45"
,"December 10, 2011","115","60","55"
,"December 17, 2011","120","70","50"
,"December 24, 2011","115","55","60"
,"December 31, 2011","135","70","65"
,"January 7, 2012","150","70","80"
,"January 14, 2012","120","55","65"
,"January 21, 2012","135","55","80"
,"January 28, 2012","130","65","65"
,"February 4, 2012","130","65","65"
,"February 11, 2012","150","75","75"
,"February 18, 2012","135","75","60"
,"February 25, 2012","125","60","65"
,"March 3, 2012","125","60","65"
,"March 10, 2012","125","60","65"
,"March 17, 2012","130","60","70"
,"March 24, 2012","155","90","65"
,"March 31, 2012","125","70","55"
,"April 7, 2012","125","65","60"
,"April 14, 2012","130","70","60"
,"April 21, 2012","120","70","50"
,"April 28, 2012","130","60","70"
,"May 5, 2012","130","65","65"
,"May 12, 2012","105","50","55"
,"May 19, 2012","125","70","55"
,"May 26, 2012","145","80","65"
,"June 2, 2012","110","60","50"
,"June 9, 2012","105","55","50"
,"June 16, 2012","110","55","55"
,"June 23, 2012","115","55","60"
,"June 30, 2012","105","60","45"
,"July 7, 2012","125","60","65"
,"July 14, 2012","130","75","55"
,"July 21, 2012","125","70","55"
,"July 28, 2012","110","55","55"
,"August 4, 2012","115","60","55"
,"August 11, 2012","100","60","40"
,"August 18, 2012","100","50","50"
,"August 25, 2012","100","50","50"
,"September 1, 2012","135","65","70"
,"September 8, 2012","95","50","45"
,"September 15, 2012","125","60","65"
,"September 22, 2012","110","60","50"
,"September 29, 2012","120","60","60"
,"October 6, 2012","110","50","60"
,"October 13, 2012","105","55","50"
,"October 20, 2012","125","55","70"
,"October 27, 2012","120","70","50"
,"November 3, 2012","140","70","70"
,"November 10, 2012","125","60","65"
,"November 17, 2012","120","70","50"
,"November 24, 2012","130","60","70"
,"December 1, 2012","115","60","55"
,"December 8, 2012","130","70","60"
,"December 15, 2012","125","65","60"
,"December 22, 2012","145","70","75"
,"December 29, 2012","130","65","65"
,"January 5, 2013","165","65","100"
,"January 12, 2013","145","70","75"
,"January 19, 2013","150","75","75"
,"January 26, 2013","130","65","65"
,"February 2, 2013","150","55","95"
,"February 9, 2013","125","50","75"
,"February 16, 2013","150","80","70"
,"February 23, 2013","140","65","75"
,"March 2, 2013","120","60","60"
,"March 9, 2013","120","55","65"
,"March 16, 2013","140","65","75"
,"March 23, 2013","130","65","65"
,"March 30, 2013","145","70","75"
,"April 6, 2013","110","55","55"
,"April 13, 2013","135","65","70"
,"April 20, 2013","125","55","70"
,"April 27, 2013","120","60","60"
,"May 4, 2013","135","65","70"
,"May 11, 2013","150","80","70"
,"May 18, 2013","110","55","55"
,"May 25, 2013","140","70","70"
,"June 1, 2013","115","60","55"
,"June 8, 2013","115","60","55"
,"June 15, 2013","105","55","50"
,"June 22, 2013","110","60","50"
,"June 29, 2013","120","65","55"
,"July 6, 2013","125","60","65"
,"July 13, 2013","130","70","60"
,"July 20, 2013","110","60","50"
,"July 27, 2013","130","60","70"
,"August 3, 2013","120","55","65"
,"August 10, 2013","100","50","50"
,"August 17, 2013","135","75","60"
,"August 24, 2013","100","40","60"
,"August 31, 2013","115","60","55"
,"September 7, 2013","105","45","60"
,"September 14, 2013","110","50","60"
,"September 21, 2013","130","60","70"
,"September 28, 2013","130","65","65"
,"October 5, 2013","120","65","55"
,"October 12, 2013","130","55","75"
,"October 19, 2013","105","55","50"
,"October 26, 2013","110","55","55"
,"November 2, 2013","140","75","65"
,"November 9, 2013","145","60","85"
,"November 16, 2013","115","55","60"
,"November 23, 2013","120","50","70"
,"November 30, 2013","135","75","60"
,"December 7, 2013","140","75","65"
,"December 14, 2013","125","65","60"
,"December 21, 2013","130","70","60"
,"December 28, 2013","170","80","90"
,"January 4, 2014","140","60","80"
,"January 11, 2014","160","70","90"
,"January 18, 2014","155","85","70"
,"January 25, 2014","135","70","65"
,"February 1, 2014","145","75","70"
,"February 8, 2014","125","75","50"
,"February 15, 2014","150","85","65"
,"February 22, 2014","140","80","60"
,"March 1, 2014","125","60","65"
,"March 8, 2014","135","75","60"
,"March 15, 2014","135","60","75"
,"March 22, 2014","115","55","60"
,"March 29, 2014","140","75","65"
,"April 5, 2014","135","55","80"
,"April 12, 2014","130","65","65"
,"April 19, 2014","130","55","75"
,"April 26, 2014","130","70","60"
,"May 3, 2014","120","65","55"
,"May 10, 2014","125","50","75"
,"May 17, 2014","115","60","55"
,"May 24, 2014","130","65","65"
,"May 31, 2014","115","60","55"
,"June 7, 2014","110","50","60"
,"June 14, 2014","110","55","55"
,"June 21, 2014","140","65","75"
,"June 28, 2014","135","60","75"
,"July 5, 2014","120","60","60"
,"July 12, 2014","130","70","60"
,"July 19, 2014","125","55","70"
,"July 26, 2014","125","55","70"
,"August 2, 2014","120","55","65"
,"August 9, 2014","135","65","70"
,"August 16, 2014","125","65","60"
,"August 23, 2014","140","70","70"
,"August 30, 2014","150","80","70"
,"September 6, 2014","165","80","85"
,"September 13, 2014","115","55","60"
,"September 20, 2014","120","65","55"
,"September 27, 2014","120","65","55"
,"October 4, 2014","130","65","65"
,"October 11, 2014","125","55","70"
,"October 18, 2014","135","60","75"
,"October 25, 2014","140","70","70"
,"November 1, 2014","115","55","60"
,"November 8, 2014","130","55","75"
,"November 15, 2014","135","70","65"
,"November 22, 2014","135","65","70"
,"November 29, 2014","130","65","65"
,"December 6, 2014","115","60","55"
,"December 13, 2014","150","75","75"
,"December 20, 2014","140","65","75"
,"December 27, 2014","160","80","80"
,"January 3, 2015","145","80","65"
,"January 10, 2015","165","85","80"
,"January 17, 2015","170","85","85"
,"January 24, 2015","180","105","75"
,"January 31, 2015","165","95","70"
,"February 7, 2015","180","95","85"
,"February 14, 2015","180","95","85"
,"February 21, 2015","175","85","90"
,"February 28, 2015","170","80","90"
,"March 7, 2015","175","75","100"
,"March 14, 2015","165","70","95"
,"March 21, 2015","150","75","75"
,"March 28, 2015","150","65","85"
,"April 4, 2015","135","65","70"
,"April 11, 2015","160","80","80"
,"April 18, 2015","145","65","80"
,"April 25, 2015","140","60","80"
,"May 2, 2015","140","65","75"
,"May 9, 2015","140","65","75"
,"May 16, 2015","135","75","60"
,"May 23, 2015","125","60","65"
,"May 30, 2015","140","80","60"
,"June 6, 2015","120","60","60"
,"June 13, 2015","150","75","75"
,"June 20, 2015","135","50","85"
,"June 27, 2015","110","55","55"
,"July 4, 2015","115","65","50"
,"July 11, 2015","130","65","65"
,"July 18, 2015","115","50","65"
,"July 25, 2015","120","65","55"
,"August 1, 2015","115","60","55"
,"August 8, 2015","125","80","45"
,"August 15, 2015","115","55","60"
,"August 22, 2015","125","65","60"
,"August 29, 2015","110","55","55"
,"September 5, 2015","125","60","65"
,"September 12, 2015","115","65","50"
,"September 19, 2015","105","60","45"
,"September 26, 2015","130","70","60"
,"October 3, 2015","140","65","75"
,"October 10, 2015","130","75","55"
,"October 17, 2015","140","75","65"
,"October 24, 2015","135","60","75"
,"October 31, 2015","130","65","65"
,"November 7, 2015","125","65","60"
,"November 14, 2015","170","85","85"
,"November 21, 2015","145","65","80"
,"November 28, 2015","150","75","75"
,"December 5, 2015","125","55","70"
,"December 12, 2015","135","65","70"
,"December 19, 2015","135","60","75"
,"December 26, 2015","115","75","40"
,"January 2, 2016","140","75","65"
,"January 9, 2016","125","60","65"
,"January 16, 2016","155","90","65"
,"January 23, 2016","140","70","70"
,"January 30, 2016","165","80","85"
,"February 6, 2016","145","85","60"
,"February 13, 2016","135","70","65"
,"February 20, 2016","135","60","75"
,"February 27, 2016","125","65","60"
,"March 5, 2016","140","65","75"
,"March 12, 2016","160","95","65"
,"March 19, 2016","125","70","55"
,"March 26, 2016","175","100","75"
,"April 2, 2016","140","75","65"
,"April 9, 2016","140","75","65"
,"April 16, 2016","150","85","65"
,"April 23, 2016","155","80","75"
,"April 30, 2016","130","60","70"
,"May 7, 2016","135","60","75"
,"May 14, 2016","145","75","70"
,"May 21, 2016","125","65","60"
,"May 28, 2016","135","70","65"
,"June 4, 2016","140","80","60"
,"June 11, 2016","130","65","65"
,"June 18, 2016","125","75","50"
,"June 25, 2016","135","75","60"
,"July 2, 2016","130","60","70"
,"July 9, 2016","130","55","75"
,"July 16, 2016","145","70","75"
,"July 23, 2016","150","75","75"
,"July 30, 2016","150","70","80"
,"August 6, 2016","140","55","85"
,"August 13, 2016","125","75","50"
,"August 20, 2016","130","70","60"
,"August 27, 2016","125","70","55"
,"September 3, 2016","135","65","70"
,"September 10, 2016","115","65","50"
,"September 17, 2016","135","65","70"
,"September 24, 2016","125","60","65"
,"October 1, 2016","130","65","65"
,"October 8, 2016","155","80","75"
,"October 15, 2016","115","55","60"
,"October 22, 2016","150","75","75"
,"October 29, 2016","110","50","60"
,"November 5, 2016","120","55","65"
,"November 12, 2016","140","70","70"
,"November 19, 2016","130","65","65"
,"November 26, 2016","135","75","60"
,"December 3, 2016","125","60","65"
,"December 10, 2016","140","80","60"
,"December 17, 2016","155","80","75"
,"December 24, 2016","165","85","80"
,"December 31, 2016","160","85","75"
,"January 7, 2017","145","60","80"
,"January 14, 2017","160","85","80"
,"January 21, 2017","160","90","70"
,"January 28, 2017","160","80","80"
,"February 4, 2017","150","80","70"
,"February 11, 2017","170","80","85"
,"February 18, 2017","145","80","65"
,"February 25, 2017","155","75","85"
,"March 4, 2017","165","85","80"
,"March 11, 2017","165","70","90"
,"March 18, 2017","165","85","80"
,"March 25, 2017","150","75","70"
,"April 1, 2017","145","65","75"
,"April 8, 2017","155","75","80"
,"April 15, 2017","160","80","80"
,"April 22, 2017","145","70","75"
,"April 29, 2017","140","75","65"
,"May 6, 2017","180","105","75"
,"May 13, 2017","130","65","65"
,"May 20, 2017","125","50","70"
,"May 27, 2017","145","65","80"
,"June 3, 2017","150","80","70"
,"June 10, 2017","145","75","75"
,"June 17, 2017","140","80","65"
,"June 24, 2017","110","45","65"
,"July 1, 2017","140","70","70"
,"July 8, 2017","105","60","50"
,"July 15, 2017","120","55","65"
,"July 22, 2017","165","90","75"
,"July 29, 2017","145","70","75"
,"August 5, 2017","110","55","55"
,"August 12, 2017","130","65","60"
,"August 19, 2017","150","80","75"
,"August 26, 2017","135","65","70"
,"September 2, 2017","140","70","65"
,"September 9, 2017","150","75","75"
,"September 16, 2017","135","65","70"
,"September 23, 2017","120","45","75"
,"September 30, 2017","130","70","60"
,"October 7, 2017","135","65","65"
,"October 14, 2017","145","80","60"
,"October 21, 2017","130","65","60"
,"October 28, 2017","140","70","70"
,"November 4, 2017","130","70","60"
,"November 11, 2017","155","80","75"
,"November 18, 2017","145","75","65"
,"November 25, 2017","155","80","70"
,"December 2, 2017","130","65","65"
,"December 9, 2017","145","75","75"
,"December 16, 2017","170","75","90"
,"December 23, 2017","155","85","70"
,"December 30, 2017","145","85","60"
,"January 6, 2018","180","90","95"
,"January 13, 2018","185","95","90"
,"January 20, 2018","175","95","75"
,"January 27, 2018","150","65","85"
,"February 3, 2018","155","80","75"
,"February 10, 2018","135","70","65"
,"February 17, 2018","165","75","85"
,"February 24, 2018","160","80","80"
,"March 3, 2018","145","65","80"
,"March 10, 2018","140","75","65"
,"March 17, 2018","155","85","75"
,"March 24, 2018","180","100","75"
,"March 31, 2018","160","75","85"
,"April 7, 2018","160","80","80"
,"April 14, 2018","160","80","75"
,"April 21, 2018","150","80","70"
,"April 28, 2018","140","75","65"
,"May 5, 2018","160","85","75"
,"May 12, 2018","160","85","75"
,"May 19, 2018","145","70","75"
,"May 26, 2018","140","70","70"
,"June 2, 2018","145","80","65"
,"June 9, 2018","155","80","75"
,"June 16, 2018","130","70","60"
,"June 23, 2018","150","60","85"
,"June 30, 2018","125","60","60"
,"July 7, 2018","120","55","65"
,"July 14, 2018","135","65","70"
,"July 21, 2018","125","50","70"
,"July 28, 2018","115","55","60"
,"August 4, 2018","140","65","75"
,"August 11, 2018","130","70","60"
,"August 18, 2018","145","80","60"
,"August 25, 2018","120","55","65"
,"September 1, 2018","150","75","75"
,"September 8, 2018","145","80","65"
,"September 15, 2018","135","70","70"
,"September 22, 2018","140","70","70"
,"September 29, 2018","120","55","70"
,"October 6, 2018","145","80","65"
,"October 13, 2018","155","80","70"
,"October 20, 2018","145","75","70"
,"October 27, 2018","160","75","80"
,"November 3, 2018","160","90","65"
,"November 10, 2018","140","65","70"
,"November 17, 2018","140","70","70"
,"November 24, 2018","130","70","60"
,"December 1, 2018","155","85","75"
,"December 8, 2018","150","75","75"
,"December 15, 2018","145","75","70"
,"December 22, 2018","175","90","80"
,"December 29, 2018","140","75","65"
,"January 5, 2019","160","75","85"
,"January 12, 2019","155","80","75"
,"January 19, 2019","170","80","85"
,"January 26, 2019","160","85","75"
,"February 2, 2019","165","85","85"
,"February 9, 2019","170","75","100"
,"February 16, 2019","115","55","65"
,"February 23, 2019","185","95","85"
,"March 2, 2019","170","95","80"
,"March 9, 2019","130","80","50"
,"March 16, 2019","135","65","65"
,"March 23, 2019","145","75","70"
,"March 30, 2019","160","80","75"
,"April 6, 2019","160","80","80"
,"April 13, 2019","155","80","70"
,"April 20, 2019","150","80","70"
,"April 27, 2019","170","85","80"
,"May 4, 2019","140","65","75"
,"May 11, 2019","175","90","85"
,"May 18, 2019","150","80","70"
,"May 25, 2019","145","85","65"
,"June 1, 2019","150","80","65"
,"June 8, 2019","140","75","65"
,"June 15, 2019","130","60","70"
,"June 22, 2019","135","75","65"
,"June 29, 2019","135","85","50"
,"July 6, 2019","135","60","65"
,"July 13, 2019","145","80","65"
,"July 20, 2019","135","80","55"
,"July 27, 2019","135","65","70"
,"August 3, 2019","150","65","85"
,"August 10, 2019","145","65","80"
,"August 17, 2019","150","75","75"
,"August 24, 2019","145","90","60"
,"August 31, 2019","135","55","70"
,"September 7, 2019","145","65","80"
,"September 14, 2019","140","70","75"
,"September 21, 2019","140","65","75"
,"September 28, 2019","145","75","75"
,"October 5, 2019","160","80","80"
,"October 12, 2019","135","75","60"
,"October 19, 2019","145","70","80"
,"October 26, 2019","150","75","75"
,"November 2, 2019","160","70","90"
,"November 9, 2019","150","70","80"
,"November 16, 2019","150","85","70"
,"November 23, 2019","155","85","65"
,"November 30, 2019","150","80","70"
,"December 7, 2019","150","85","70"
,"December 14, 2019","175","95","85"
,"December 21, 2019","155","85","70"
,"December 28, 2019","130","65","60"
,"January 4, 2020","180","90","90"
,"January 11, 2020","135","75","60"
,"January 18, 2020","150","65","85"
,"January 25, 2020","150","75","70"
,"February 1, 2020","140","60","80"
,"February 8, 2020","170","100","70"
,"February 15, 2020","135","65","65"
,"February 22, 2020","150","70","80"
,"February 29, 2020","145","65","85"
,"March 7, 2020","145","60","85"
,"March 14, 2020","130","75","60"
,"March 21, 2020","150","70","75"
,"March 28, 2020","150","75","75"
,"April 4, 2020","145","70","75"
,"April 11, 2020","135","70","65"
,"April 18, 2020","145","75","70"
,"April 25, 2020","160","90","75"
,"May 2, 2020","140","80","60"
,"May 9, 2020","150","80","65"
,"May 16, 2020","150","85","60"
,"May 23, 2020","140","70","70"
,"May 30, 2020","135","75","60"
,"June 6, 2020","130","55","75"
,"June 13, 2020","115","60","55"
,"June 20, 2020","145","75","70"
,"June 27, 2020","135","70","65"
,"July 4, 2020","130","75","55"
,"July 11, 2020","145","75","70"
,"July 18, 2020","130","75","55"
,"July 25, 2020","125","70","50"
,"August 1, 2020","130","65","70"
,"August 8, 2020","140","75","65"
,"August 15, 2020","155","80","70"
,"August 22, 2020","125","55","70"
,"August 29, 2020","150","75","75"
,"September 5, 2020","110","55","55"
,"September 12, 2020","130","65","60"
,"September 19, 2020","160","85","75"
,"September 26, 2020","140","80","65"
,"October 3, 2020","150","80","70"
,"October 10, 2020","130","65","65"
,"October 17, 2020","165","85","80"
,"October 24, 2020","140","65","80"
,"October 31, 2020","155","75","85"
,"November 7, 2020","160","80","75"
,"November 14, 2020","150","75","75"
,"November 21, 2020","150","75","70"
,"November 28, 2020","145","80","65"
,"December 5, 2020","150","80","65"
,"December 12, 2020","150","75","75"
,"December 19, 2020","145","75","70"
,"December 26, 2020","155","70","85"
,"January 2, 2021","125","65","55"
,"January 9, 2021","140","75","65"
,"January 16, 2021","155","90","65"
,"January 23, 2021","165","80","85"
,"January 30, 2021","185","100","90"
,"February 6, 2021","165","80","85"
,"February 13, 2021","155","75","75"
,"February 20, 2021","145","70","80"
,"February 27, 2021","125","75","50"
,"March 6, 2021","160","80","80"
,"March 13, 2021","165","90","75"
,"March 20, 2021","150","85","60"
,"March 27, 2021","165","85","80"
,"April 3, 2021","150","75","75"
,"April 10, 2021","150","75","70"
,"April 17, 2021","140","70","65"
,"April 24, 2021","150","80","70"
,"May 1, 2021","160","85","80"
,"May 8, 2021","145","80","65"
,"May 15, 2021","175","85","85"
,"May 22, 2021","140","75","65"
,"May 29, 2021","130","70","55"
,"June 5, 2021","135","65","70"
,"June 12, 2021","145","65","80"
,"June 19, 2021","130","65","65"
,"June 26, 2021","140","70","75"
,"July 3, 2021","140","70","70"
,"July 10, 2021","120","60","65"
,"July 17, 2021","145","80","55"
,"July 24, 2021","140","80","60"
,"July 31, 2021","150","75","75"
,"August 7, 2021","140","70","75"
,"August 14, 2021","145","85","60"
,"August 21, 2021","150","70","75"
,"August 28, 2021","135","75","60"
,"September 4, 2021","180","85","95"
,"September 11, 2021","170","90","85"
,"September 18, 2021","170","85","85"
,"September 25, 2021","145","75","70"
,"October 2, 2021","190","105","85"
,"October 9, 2021","170","85","85"
,"October 16, 2021","165","85","80"
,"October 23, 2021","185","90","90"
,"October 30, 2021","145","75","70"
,"November 6, 2021","160","85","75"
,"November 13, 2021","165","80","90"
,"November 20, 2021","155","85","70"
,"November 27, 2021","140","70","70"
,"December 4, 2021","210","120","95"
,"December 11, 2021","170","95","70"
,"December 18, 2021","175","95","80"
,"December 25, 2021","170","100","70"
,"January 1, 2022","200","105","90"
,"January 8, 2022","190","105","90"
,"January 15, 2022","195","90","105"
,"January 22, 2022","230","120","110"
,"January 29, 2022","210","105","100"
,"February 5, 2022","205","115","90"
,"February 12, 2022","190","105","90"
,"February 19, 2022","180","95","85"
,"February 26, 2022","170","80","85"
,"March 5, 2022","165","80","85"
,"March 12, 2022","170","85","75"
,"March 19, 2022","160","85","75"
,"March 26, 2022","180","90","85"
,"April 2, 2022","170","100","70"
,"April 9, 2022","190","100","90"
,"April 16, 2022","170","80","95"
,"April 23, 2022","165","70","95"
,"April 30, 2022","170","95","80"
,"May 7, 2022","180","100","80"
,"May 14, 2022","170","75","95"
,"May 21, 2022","185","80","100"
,"May 28, 2022","150","80","65"
,"June 4, 2022","155","70","85"
,"June 11, 2022","160","90","70"
,"June 18, 2022","150","80","75"
,"June 25, 2022","145","60","85"
,"July 2, 2022","150","80","70"
,"July 9, 2022","160","90","65"
,"July 16, 2022","135","75","65"
,"July 23, 2022","160","90","75"
,"July 30, 2022","170","80","85"
,"August 6, 2022","155","70","85"
,"August 13, 2022","170","100","70"
,"August 20, 2022","150","70","75"
,"August 27, 2022","140","75","60"
,"September 3, 2022","175","100","80"
,"September 10, 2022","190","90","95"
,"September 17, 2022","165","95","70"
,"September 24, 2022","210","95","120"
,"October 1, 2022","180","100","80"
,"October 8, 2022","175","85","85"
,"October 15, 2022","190","95","90"
,"October 22, 2022","170","95","80"
,"October 29, 2022","180","75","105"
,"November 5, 2022","185","100","90"
,"November 12, 2022","190","115","80"
,"November 19, 2022","175","85","95"
,"November 26, 2022","175","95","80"
,"December 3, 2022","240","120","115"
,"December 10, 2022","215","130","90"
,"December 17, 2022","215","95","120"
,"December 24, 2022","215","120","95"
,"December 31, 2022","245","115","130"
"Quebec, place of occurrence","January 9, 2010","1,210","625","585"
,"January 16, 2010","1,170","595","575"
,"January 23, 2010","1,155","555","600"
,"January 30, 2010","1,130","550","580"
,"February 6, 2010","1,190","595","595"
,"February 13, 2010","1,115","555","560"
,"February 20, 2010","1,240","590","650"
,"February 27, 2010","1,120","525","595"
,"March 6, 2010","1,160","535","625"
,"March 13, 2010","1,130","560","570"
,"March 20, 2010","1,205","600","605"
,"March 27, 2010","1,135","540","595"
,"April 3, 2010","1,205","595","610"
,"April 10, 2010","1,075","510","565"
,"April 17, 2010","1,200","600","600"
,"April 24, 2010","1,145","585","560"
,"May 1, 2010","1,185","595","590"
,"May 8, 2010","1,035","515","520"
,"May 15, 2010","1,100","545","555"
,"May 22, 2010","1,020","535","485"
,"May 29, 2010","1,130","560","570"
,"June 5, 2010","1,110","525","585"
,"June 12, 2010","1,085","530","555"
,"June 19, 2010","1,070","510","560"
,"June 26, 2010","1,020","500","520"
,"July 3, 2010","1,000","490","510"
,"July 10, 2010","1,295","635","660"
,"July 17, 2010","1,150","570","580"
,"July 24, 2010","1,125","555","570"
,"July 31, 2010","1,060","550","510"
,"August 7, 2010","1,015","475","540"
,"August 14, 2010","1,040","515","525"
,"August 21, 2010","1,035","485","550"
,"August 28, 2010","1,040","520","520"
,"September 4, 2010","1,060","525","535"
,"September 11, 2010","1,050","550","500"
,"September 18, 2010","1,050","550","500"
,"September 25, 2010","1,090","550","540"
,"October 2, 2010","1,075","540","535"
,"October 9, 2010","1,120","540","580"
,"October 16, 2010","1,215","575","640"
,"October 23, 2010","1,145","550","595"
,"October 30, 2010","1,205","575","630"
,"November 6, 2010","1,140","555","585"
,"November 13, 2010","1,090","535","555"
,"November 20, 2010","1,110","555","555"
,"November 27, 2010","1,115","535","580"
,"December 4, 2010","1,210","605","605"
,"December 11, 2010","1,130","565","565"
,"December 18, 2010","1,170","565","605"
,"December 25, 2010","1,220","600","620"
,"January 1, 2011","1,285","605","680"
,"January 8, 2011","1,325","655","670"
,"January 15, 2011","1,315","620","695"
,"January 22, 2011","1,310","625","685"
,"January 29, 2011","1,310","645","665"
,"February 5, 2011","1,290","660","630"
,"February 12, 2011","1,275","595","680"
,"February 19, 2011","1,285","630","655"
,"February 26, 2011","1,230","560","670"
,"March 5, 2011","1,265","570","695"
,"March 12, 2011","1,315","625","690"
,"March 19, 2011","1,255","585","670"
,"March 26, 2011","1,190","560","630"
,"April 2, 2011","1,225","625","600"
,"April 9, 2011","1,190","570","620"
,"April 16, 2011","1,175","590","585"
,"April 23, 2011","1,165","555","610"
,"April 30, 2011","1,115","570","545"
,"May 7, 2011","1,150","545","605"
,"May 14, 2011","1,125","570","555"
,"May 21, 2011","1,100","520","580"
,"May 28, 2011","1,010","505","505"
,"June 4, 2011","1,035","535","500"
,"June 11, 2011","1,110","545","565"
,"June 18, 2011","1,105","570","535"
,"June 25, 2011","1,030","505","525"
,"July 2, 2011","1,040","550","490"
,"July 9, 2011","1,035","525","510"
,"July 16, 2011","1,030","525","505"
,"July 23, 2011","1,090","540","550"
,"July 30, 2011","1,070","525","545"
,"August 6, 2011","1,035","510","525"
,"August 13, 2011","1,060","520","540"
,"August 20, 2011","1,050","530","520"
,"August 27, 2011","1,040","525","515"
,"September 3, 2011","1,065","555","510"
,"September 10, 2011","1,010","495","515"
,"September 17, 2011","1,025","495","530"
,"September 24, 2011","1,110","565","545"
,"October 1, 2011","1,070","525","545"
,"October 8, 2011","1,110","570","540"
,"October 15, 2011","1,065","545","520"
,"October 22, 2011","1,125","590","535"
,"October 29, 2011","1,095","520","575"
,"November 5, 2011","1,080","530","550"
,"November 12, 2011","1,080","540","540"
,"November 19, 2011","1,090","555","535"
,"November 26, 2011","1,115","555","560"
,"December 3, 2011","1,190","590","600"
,"December 10, 2011","1,190","600","590"
,"December 17, 2011","1,175","585","590"
,"December 24, 2011","1,190","625","565"
,"December 31, 2011","1,240","605","635"
,"January 7, 2012","1,260","610","650"
,"January 14, 2012","1,285","650","635"
,"January 21, 2012","1,325","655","670"
,"January 28, 2012","1,245","610","635"
,"February 4, 2012","1,210","565","645"
,"February 11, 2012","1,250","625","625"
,"February 18, 2012","1,180","575","605"
,"February 25, 2012","1,210","590","620"
,"March 3, 2012","1,240","640","600"
,"March 10, 2012","1,230","600","630"
,"March 17, 2012","1,235","575","660"
,"March 24, 2012","1,230","590","640"
,"March 31, 2012","1,185","555","630"
,"April 7, 2012","1,155","545","610"
,"April 14, 2012","1,155","580","575"
,"April 21, 2012","1,190","595","595"
,"April 28, 2012","1,175","585","590"
,"May 5, 2012","1,125","545","580"
,"May 12, 2012","1,125","550","575"
,"May 19, 2012","1,150","585","565"
,"May 26, 2012","1,130","545","585"
,"June 2, 2012","1,060","545","515"
,"June 9, 2012","1,090","570","520"
,"June 16, 2012","1,060","535","525"
,"June 23, 2012","1,060","505","555"
,"June 30, 2012","1,075","560","515"
,"July 7, 2012","1,135","560","575"
,"July 14, 2012","1,100","545","555"
,"July 21, 2012","1,070","525","545"
,"July 28, 2012","1,065","535","530"
,"August 4, 2012","1,120","540","580"
,"August 11, 2012","1,105","530","575"
,"August 18, 2012","1,070","525","545"
,"August 25, 2012","1,105","570","535"
,"September 1, 2012","1,035","525","510"
,"September 8, 2012","1,095","525","570"
,"September 15, 2012","1,065","550","515"
,"September 22, 2012","1,115","545","570"
,"September 29, 2012","1,070","550","520"
,"October 6, 2012","1,050","515","535"
,"October 13, 2012","1,130","545","585"
,"October 20, 2012","1,175","590","585"
,"October 27, 2012","1,125","570","555"
,"November 3, 2012","1,150","550","600"
,"November 10, 2012","1,145","570","575"
,"November 17, 2012","1,115","555","560"
,"November 24, 2012","1,115","560","555"
,"December 1, 2012","1,155","585","570"
,"December 8, 2012","1,225","595","630"
,"December 15, 2012","1,215","630","585"
,"December 22, 2012","1,415","710","705"
,"December 29, 2012","1,520","725","795"
,"January 5, 2013","1,640","760","880"
,"January 12, 2013","1,595","745","850"
,"January 19, 2013","1,560","735","825"
,"January 26, 2013","1,375","655","720"
,"February 2, 2013","1,410","680","730"
,"February 9, 2013","1,265","595","670"
,"February 16, 2013","1,330","625","705"
,"February 23, 2013","1,290","625","665"
,"March 2, 2013","1,280","655","625"
,"March 9, 2013","1,180","590","590"
,"March 16, 2013","1,190","580","610"
,"March 23, 2013","1,255","600","655"
,"March 30, 2013","1,155","585","570"
