"Provisional weekly death counts, by age group and sex c 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15"
"Frequency: Weekly"
"Table: 13-10-0768-01"
"Release date: 2023-05-11"
"Geography: Canada, Province or territory"
""
""

,"Age at time of death","Age at time of death, all ages 18",,
,"Sex","Both sexes 19","Males","Females"
,"Characteristics 17","Number of deaths","Number of deaths","Number of deaths"
"Geography, place of occurrence 16","Reference period"
,,"Number",,
,"May 11, 2013","105","55","50"
,"May 18, 2013","75","35","40"
,"May 25, 2013","85","50","35"
,"June 1, 2013","80","35","45"
,"June 8, 2013","95","50","45"
,"June 15, 2013","105","55","50"
,"June 22, 2013","90","45","45"
,"June 29, 2013","90","45","45"
,"July 6, 2013","90","35","55"
,"July 13, 2013","90","45","45"
,"July 20, 2013","90","45","45"
,"July 27, 2013","95","55","40"
,"August 3, 2013","80","45","35"
,"August 10, 2013","65","40","25"
,"August 17, 2013","90","45","45"
,"August 24, 2013","85","45","40"
,"August 31, 2013","90","45","45"
,"September 7, 2013","80","45","35"
,"September 14, 2013","85","45","40"
,"September 21, 2013","70","40","30"
,"September 28, 2013","75","35","40"
,"October 5, 2013","95","45","50"
,"October 12, 2013","90","50","40"
,"October 19, 2013","95","55","40"
,"October 26, 2013","75","40","35"
,"November 2, 2013","95","50","45"
,"November 9, 2013","90","40","50"
,"November 16, 2013","80","35","45"
,"November 23, 2013","100","50","50"
,"November 30, 2013","90","45","45"
,"December 7, 2013","75","40","35"
,"December 14, 2013","90","50","40"
,"December 21, 2013","85","50","35"
,"December 28, 2013","100","45","55"
,"January 4, 2014","120","75","45"
,"January 11, 2014","105","60","45"
,"January 18, 2014","100","55","45"
,"January 25, 2014","110","55","55"
,"February 1, 2014","80","45","35"
,"February 8, 2014","100","55","45"
,"February 15, 2014","105","55","50"
,"February 22, 2014","110","50","60"
,"March 1, 2014","100","60","40"
,"March 8, 2014","85","40","45"
,"March 15, 2014","95","55","40"
,"March 22, 2014","100","50","50"
,"March 29, 2014","85","50","35"
,"April 5, 2014","100","55","45"
,"April 12, 2014","105","50","55"
,"April 19, 2014","75","40","35"
,"April 26, 2014","105","55","50"
,"May 3, 2014","80","45","35"
,"May 10, 2014","95","60","35"
,"May 17, 2014","105","50","55"
,"May 24, 2014","100","50","50"
,"May 31, 2014","100","45","55"
,"June 7, 2014","85","45","40"
,"June 14, 2014","115","70","45"
,"June 21, 2014","85","40","45"
,"June 28, 2014","90","45","45"
,"July 5, 2014","80","40","40"
,"July 12, 2014","80","40","40"
,"July 19, 2014","95","50","45"
,"July 26, 2014","75","40","35"
,"August 2, 2014","90","45","45"
,"August 9, 2014","85","45","40"
,"August 16, 2014","70","35","35"
,"August 23, 2014","95","45","50"
,"August 30, 2014","70","45","25"
,"September 6, 2014","95","45","50"
,"September 13, 2014","115","55","60"
,"September 20, 2014","100","45","55"
,"September 27, 2014","85","45","40"
,"October 4, 2014","90","50","40"
,"October 11, 2014","110","65","45"
,"October 18, 2014","95","50","45"
,"October 25, 2014","90","40","50"
,"November 1, 2014","100","55","45"
,"November 8, 2014","100","50","50"
,"November 15, 2014","115","50","65"
,"November 22, 2014","75","45","30"
,"November 29, 2014","90","50","40"
,"December 6, 2014","110","50","60"
,"December 13, 2014","100","55","45"
,"December 20, 2014","100","50","50"
,"December 27, 2014","110","50","60"
,"January 3, 2015","145","75","70"
,"January 10, 2015","125","60","65"
,"January 17, 2015","135","70","65"
,"January 24, 2015","110","60","50"
,"January 31, 2015","105","45","60"
,"February 7, 2015","125","55","70"
,"February 14, 2015","100","50","50"
,"February 21, 2015","125","60","65"
,"February 28, 2015","110","50","60"
,"March 7, 2015","105","55","50"
,"March 14, 2015","100","50","50"
,"March 21, 2015","120","55","65"
,"March 28, 2015","100","50","50"
